0,19,I
1,19,I
2,19,I
3,19,I
4,19,I
5,19,I
6,19,I
7,19,I
8,19,I
9,19,I
17,19,I
16,19,I
15,19,I
10,19,I
11,19,I
12,19,I
14,19,I
14,18,I
14,17,I
14,16,I
14,15,I
14,14,I
14,13,I
14,12,I
14,11,I
13,11,I
12,11,I
11,11,I
10,11,I
9,11,I
8,11,I
7,11,I
7,12,I
7,13,I
7,14,I
12,18,I
12,17,I
12,16,I
12,15,I
12,14,I
12,13,I
11,13,I
10,13,I
9,13,I
9,14,I
9,15,I
7,15,I
17,18,R
17,17,R
17,16,R
17,15,R
17,14,R
17,13,R
17,12,R
17,11,R
17,10,R
17,9,R
17,8,R
17,7,R
17,6,R
17,5,R
17,4,R
17,3,R
17,2,R
17,1,R
17,0,R
16,0,R
15,0,R
14,0,R
13,0,R
12,0,R
11,0,R
10,0,R
9,0,R
8,0,R
7,0,R
6,0,R
5,0,R
4,0,R
3,0,R
2,0,R
1,0,R
0,0,R
0,1,R
0,2,R
0,3,R
0,4,R
0,5,R
0,6,R
0,7,R
0,8,R
0,9,R
0,10,R
0,11,R
0,12,R
0,13,R
0,14,R
0,15,R
0,16,R
0,17,R
0,18,R
1,18,R
1,17,R
1,16,R
1,15,R
1,14,R
1,13,R
1,12,R
1,11,R
1,10,R
1,9,R
1,8,R
1,7,R
1,6,R
1,5,R
1,4,R
1,3,R
1,2,R
1,1,R
2,1,R
3,1,R
4,1,R
5,1,R
6,1,R
7,1,R
8,1,R
9,1,R
10,1,R
11,1,R
12,1,R
13,1,R
14,1,R
15,1,R
16,1,R
16,2,R
16,3,R
16,4,R
16,5,R
16,6,R
16,7,R
16,8,R
16,9,R
16,10,R
16,11,R
16,12,R
16,13,R
16,14,R
16,15,R
16,16,R
16,17,R
16,18,R
15,18,R
15,17,R
15,16,R
15,15,R
15,14,R
15,13,R
15,12,R
15,11,R
15,10,R
15,9,R
15,8,R
15,7,R
15,6,R
15,5,R
15,4,R
15,3,R
15,2,R
14,2,R
13,2,R
12,2,R
11,2,R
10,2,R
9,2,R
8,2,R
7,2,R
6,2,R
5,2,R
4,2,R
3,2,R
2,2,R
2,3,R
2,4,R
2,5,R
2,6,R
2,7,R
2,8,R
2,9,R
2,10,R
2,11,R
2,12,R
2,13,R
2,14,R
2,15,R
2,16,R
2,17,R
2,18,R
3,18,R
4,18,R
5,18,R
6,18,R
7,18,R
8,18,R
9,18,R
10,18,R
11,18,R
11,17,R
11,16,R
11,15,R
11,14,R
10,14,R
10,15,R
10,16,R
10,17,R
9,17,R
9,16,R
8,16,R
8,17,R
7,17,R
7,16,R
6,16,R
6,17,R
5,17,R
4,17,R
3,17,R
3,16,R
4,16,R
5,16,R
6,15,R
6,14,R
6,13,R
6,12,R
6,11,R
6,10,R
6,9,R
6,8,R
6,7,R
6,6,R
6,5,R
6,4,R
6,3,R
5,3,R
4,3,R
3,3,R
3,4,R
3,5,R
3,6,R
3,7,R
3,8,R
3,9,R
3,10,R
3,11,R
3,12,R
3,13,R
3,14,R
3,15,R
4,15,R
5,15,R
5,14,R
5,13,R
5,12,R
5,11,R
5,10,R
5,9,R
5,8,R
5,7,R
5,6,R
5,5,R
5,4,R
4,4,R
4,5,R
4,6,R
4,7,R
4,8,R
4,9,R
4,10,R
4,11,R
4,12,R
4,13,R
4,14,R
7,10,R
7,9,R
7,8,R
7,7,R
7,6,R
7,5,R
7,4,R
7,3,R
8,3,R
9,3,R
10,3,R
11,3,R
12,3,R
13,3,R
14,3,R
14,4,R
14,5,R
14,6,R
14,7,R
14,8,R
14,9,R
14,10,R
13,10,R
12,10,R
11,10,R
10,10,R
9,10,R
8,10,R
8,9,R
8,8,R
8,7,R
8,6,R
8,5,R
8,4,R
9,4,R
10,4,R
11,4,R
12,4,R
13,4,R
13,5,R
13,6,R
13,7,R
13,8,R
13,9,R
12,9,R
11,9,R
10,9,R
9,9,R
9,8,R
9,7,R
9,6,R
9,5,R
10,5,R
11,5,R
12,5,R
12,6,R
12,7,R
12,8,R
11,8,R
10,8,R
10,7,R
11,6,R
10,6,R
11,7,R
